Date,Date1,uk_b_w_delta,de_b_w_delta,ca_b_w_delta,jpy_b_w_delta,us_b_w_delta,cn_b_w_delta,usdcad_w_delta,gbpusd_w_delta,eurusd_w_delta,usdjpy_w_delta,audusd_w_delta
5/7/2010,5/7/2010,0.077,0.224,0.164,0.006,0.266,0.02,-0.0038,0.0307,0.0577,0.19,0.0133
5/14/2010,5/14/2010,0.089,0.059,0.154,-0.021,0.133,0.06,-0.0239,0.0065,-0.0222,2.35,0.054
5/21/2010,5/21/2010,0.183,0.156,0.086,0.06,0.255,0.05,0.0079,0.0013,0.0274,-0.87,-0.0158
5/28/2010,5/28/2010,-0.02,-0.004,0.053,-0.014,-0.114,-0.03,-0.0107,-0.0021,0.0315,-0.91,0.0225
6/4/2010,6/4/2010,0.068,0.092,0.024,-0.016,0.064,-0.04,0.0287,-0.0124,-0.0158,0.18,-0.0276
6/11/2010,6/11/2010,0.05,0.002,-0.114,0.038,0.012,-0.03,0.0125,-0.0269,-0.0271,1.08,-0.0202
6/18/2010,6/18/2010,-0.059,-0.152,0.121,0.031,0.072,-0.08,-0.0154,-0.0201,0.006,1.21,0.0069
6/25/2010,6/25/2010,0.149,0.14,0.171,0.056,0.184,0,-0.0271,-0.015,-0.0183,1.55,0.0328
7/2/2010,7/2/2010,0.021,0.028,0.089,0.047,0.111,0.09,0.0292,0.0129,-0.0085,-0.87,-0.0363
7/9/2010,7/9/2010,0.01,-0.063,-0.152,-0.061,-0.086,0.03,-0.0256,-0.0236,-0.0285,2.12,0.0085
7/16/2010,7/16/2010,0.011,0.027,0.043,0.069,0.104,0.01,0.0216,-0.0128,-0.0004,-0.78,-0.029
7/23/2010,7/23/2010,-0.11,-0.073,-0.055,0.02,-0.044,-0.02,0.0084,-0.0279,-0.0153,1.12,-0.009
7/30/2010,7/30/2010,0.117,0.069,0.111,0.001,0.082,-0.03,0.0023,-0.0215,-0.0219,0.93,-0.0122
8/6/2010,8/6/2010,0.099,0.153,0.036,0.01,0.11,0,-0.0152,0.0396,0.0532,-0.817,0.026
8/13/2010,8/13/2010,0.098,0.12,0.09,0.074,0.127,0.02,-0.0062,0.0058,0.0055,0.657,-0.0005
8/20/2010,8/20/2010,0.166,0.113,0.035,0.055,0.008,0.01,-0.002,0.0008,-0.0057,0.376,-0.0118
8/27/2010,8/27/2010,0.073,0.079,0.051,-0.074,-0.023,0.01,0.0114,0.0084,-0.0131,1.023,-0.0152
9/3/2010,9/3/2010,-0.108,-0.153,-0.084,-0.138,-0.11,0.02,0.0023,0.0088,0.0218,0.178,-0.0107
9/10/2010,9/10/2010,-0.136,-0.044,-0.027,-0.014,-0.145,-0.03,0.0013,-0.0265,-0.0347,-1.651,-0.007
9/17/2010,9/17/2010,-0.002,0,0.074,0.099,0.081,-0.03,0.0091,-0.0166,-0.0438,1.542,-0.0205
9/24/2010,9/24/2010,0.066,0.109,0.073,0.073,0.12,-0.03,0.0047,0.0004,-0.0307,1.083,-0.0121
10/1/2010,10/1/2010,0.07,0.055,0.057,0.042,0.025,-0.01,0.0079,-0.0157,-0.0156,1.47,-0.012
10/8/2010,10/8/2010,0.092,0.026,0.064,0.092,0.107,0,0.0004,-0.0036,0.0028,0.125,-0.0005
10/15/2010,10/15/2010,-0.067,-0.109,-0.107,-0.012,-0.221,-0.07,-0.0137,0.0297,0.002,0.083,0.0074
10/22/2010,10/22/2010,-0.001,-0.091,0.036,-0.011,-0.032,-0.25,0.0063,-0.0376,0.0005,0.992,0.0014
10/29/2010,10/29/2010,-0.122,-0.056,-0.074,-0.043,-0.081,-0.04,0.0182,-0.014,-0.006,-0.904,-0.0309
11/5/2010,11/5/2010,0.092,0.1,-0.047,0.003,0.048,-0.12,-0.0114,0.0073,0.0363,-1.203,0.0295
11/12/2010,11/12/2010,-0.233,-0.095,-0.155,-0.067,-0.217,-0.08,-0.0046,0.0144,0.001,-1.036,0.0007
11/19/2010,11/19/2010,-0.147,-0.143,-0.084,-0.068,0.016,0.11,-0.0048,0.0412,0.0496,-0.666,0.0243
11/26/2010,11/26/2010,0.026,-0.006,0.03,-0.124,-0.024,-0.13,0.0148,-0.0177,-0.0141,1.513,-0.0257
12/3/2010,12/3/2010,-0.039,-0.115,-0.058,-0.02,-0.18,0.13,-0.0056,-0.0033,0.0182,-1.237,0.0067
12/10/2010,12/10/2010,-0.102,-0.109,-0.154,0.01,-0.331,0.01,-0.0041,0.0265,0.0017,0.013,-0.0044
12/17/2010,12/17/2010,-0.036,-0.036,0.138,0.004,0.036,0.03,0.0053,0.0076,0.0052,1.112,-0.0172
12/24/2010,12/24/2010,0.032,-0.002,0.004,0.04,-0.105,0.01,0.0102,-0.0169,-0.0273,1.747,-0.0213
12/31/2010,12/31/2010,0.113,0.031,0.05,0.033,0.119,-0.04,0.0016,-0.0013,0.0434,-2.13,0.0257
1/7/2011,1/7/2011,-0.116,0.103,-0.07,-0.077,0.049,0.02,0.0022,-0.033,-0.0491,0.26,0.0056
1/14/2011,1/14/2011,-0.097,-0.16,-0.081,0,-0.019,-0.05,-0.0058,-0.013,-0.0252,0.305,0.0005
1/21/2011,1/21/2011,-0.08,-0.131,-0.085,-0.013,-0.128,-0.05,-0.0075,0.0132,-0.0004,0.55,-0.0051
1/28/2011,1/28/2011,0.043,0.03,0.082,-0.006,0.085,-0.01,0.014,-0.0278,-0.0004,-0.055,-0.025
2/4/2011,2/4/2011,-0.168,-0.102,-0.207,-0.065,-0.295,-0.01,-0.0008,0.0089,0.0018,-1.165,0.0116
2/11/2011,2/11/2011,0.026,-0.022,0.01,-0.005,0.024,-0.02,0.0006,-0.0251,-0.0165,0.285,-0.0137
2/18/2011,2/18/2011,0.065,0.044,0.013,0.006,0.057,0.09,0.0074,0.0133,-0.0059,1.445,-0.0035
2/25/2011,2/25/2011,0.188,0.107,0.102,0.056,0.103,0.08,0.0049,-0.0185,-0.0239,-0.645,0.0016
3/4/2011,3/4/2011,-0.023,-0.129,-0.057,-0.052,-0.067,0.05,-0.0013,0.0194,0.0091,0.38,0.0015
3/11/2011,3/11/2011,0.085,0.052,0.086,0.05,0.134,0,-0.0105,-0.0149,-0.0228,0.915,0.0139
3/18/2011,3/18/2011,0.131,0.022,0.104,0.04,0.111,0.05,0.004,0.019,0.0098,-0.465,-0.0304
3/25/2011,3/25/2011,-0.104,-0.076,-0.069,-0.01,-0.138,-0.01,0.0182,-0.0101,-0.0191,-2.665,-0.0142
4/1/2011,4/1/2011,-0.09,-0.078,-0.1,-0.06,0.016,0.01,0.0089,-0.0274,-0.0254,-0.605,-0.0178
4/8/2011,4/8/2011,-0.097,-0.114,-0.046,-0.04,-0.16,0.02,-0.0036,0.0057,0.0024,1.805,-0.001
4/15/2011,4/15/2011,0.209,0.113,0.162,0.034,0.186,0.04,0.0048,-0.0195,-0.0144,1.28,-0.0187
4/22/2011,4/22/2011,0.075,0.115,-0.023,0.071,-0.026,0,0.008,-0.0187,-0.0248,0.635,-0.0213
4/29/2011,4/29/2011,0.097,0.021,0.083,0.01,0.089,0.02,-0.0216,0.0347,0.0509,0.485,0.0271
5/6/2011,5/6/2011,0.1,0.075,0.023,0.064,0.155,0.01,-0.0023,0.0187,0.0248,-0.005,0.0134
5/13/2011,5/13/2011,0.017,0.096,0.001,0.02,-0.012,0,-0.0045,-0.0054,-0.0083,-0.835,-0.0091
5/20/2011,5/20/2011,0.024,0.024,0.028,-0.004,0.017,0,-0.0021,-0.0282,-0.0186,0.965,-0.0062
5/27/2011,5/27/2011,0.02,0.08,0.035,0,0.033,0,-0.0005,0.006,-0.0327,0.52,-1E-04
6/3/2011,6/3/2011,0.006,-0.07,0.079,-0.01,0.089,0.01,-0.0027,0.0194,0.028,-0.06,0.0195
6/10/2011,6/10/2011,0.061,0.09,-0.017,-0.015,0.029,-0.03,-0.001,0.0044,0.002,0.27,-0.0098
6/17/2011,6/17/2011,0.011,0.003,0.064,0.005,0.049,-0.1,-0.0081,0.0205,0.0089,-0.31,0.0111
6/24/2011,6/24/2011,0.058,0.113,0.05,0.02,0.029,0.05,0.0294,-0.0112,-0.0337,-0.455,-0.0284
7/1/2011,7/1/2011,-0.259,-0.202,-0.262,-0.035,-0.317,0.01,-0.0042,0.0002,0.0274,0.21,0.0017
7/8/2011,7/8/2011,0.185,0.197,0.174,-0.021,0.135,-0.02,0.0076,-0.0106,0.0063,1.425,0.0065
7/15/2011,7/15/2011,0.088,0.132,0.052,0.052,0.04,-0.04,0.0065,-0.0186,-0.0236,0.555,-0.0217
7/22/2011,7/22/2011,-0.049,-0.136,-0.073,-0.032,-0.087,-0.17,-0.0072,-0.0094,0,1.45,-0.0149
7/29/2011,7/29/2011,0.225,0.291,0.148,0.009,0.159,-0.01,-0.027,0.0008,0.0081,-1,0.0553
8/5/2011,8/5/2011,0.214,0.202,0.147,0.059,0.234,-0.08,-0.0049,0.0183,0.012,1.485,0.006
8/12/2011,8/12/2011,0.24,0.093,0.095,-0.041,0.26,0.15,-0.002,-0.0175,-0.0136,0.355,-0.0038
8/19/2011,8/19/2011,0.156,0.214,0.166,0.054,0.198,0,0.01,0.0108,-0.0126,0.14,-0.0186
8/26/2011,8/26/2011,-0.132,-0.054,-0.076,-0.065,-0.073,-0.01,-0.0039,0.0122,0.0287,-0.125,-0.0069
9/2/2011,9/2/2011,0.06,0.143,0.108,0.008,0.229,0,-0.0109,0.0272,0.0476,-0.64,0.0155
9/9/2011,9/9/2011,0.127,0.238,0.19,0.036,0.033,-0.01,0.0193,0.0043,-0.023,0.72,0.0051
9/16/2011,9/16/2011,-0.22,-0.081,-0.201,-0.014,-0.18,-0.02,-0.0466,0.0285,0.0182,0.33,0.0511
9/23/2011,9/23/2011,0.056,0.124,0.178,0.019,0.184,0,-0.022,-0.0105,0.0123,-0.47,0.0122
9/30/2011,9/30/2011,-0.067,-0.126,-0.075,-0.051,-0.075,-0.02,0.0283,-0.027,-0.0495,-0.415,-0.0579
10/14/2011,10/14/2011,-0.143,-0.223,-0.163,-0.01,-0.156,-0.01,0.0037,-0.0128,-0.0015,0.865,-0.005
10/21/2011,10/21/2011,0.077,0.114,0.046,0.017,0.03,0.06,0.0179,-0.0176,-0.028,0.32,-0.0371
10/28/2011,10/28/2011,-0.082,-0.066,-0.067,-0.034,-0.124,-0.01,-0.0255,0.0089,0.0353,-2.49,0.0309
11/4/2011,11/4/2011,0.291,0.379,0.228,0.051,0.186,0.05,0.0059,-0.0009,0.0066,0.94,0.0132
11/11/2011,11/11/2011,0.023,-0.066,0.012,0.026,-0.03,0.1,-0.0169,0.027,0.0253,0.275,0.0307
11/18/2011,11/18/2011,0.022,-0.079,0.011,0.027,0.085,-0.07,-0.0199,0.0354,0.0286,-0.835,0.0287
11/25/2011,11/25/2011,-0.055,-0.287,0.016,-0.073,-0.01,0.02,0.0245,-0.0103,-0.0078,-0.51,-0.0414
12/2/2011,12/2/2011,0.009,0.136,0.063,0.016,0.022,0.14,0.0016,-0.0071,0.0024,0.425,0.0015
12/9/2011,12/9/2011,0.132,0.006,0.077,0.054,0.03,-0.03,-0.018,0.01,0.0318,-0.13,0.0208
12/16/2011,12/16/2011,0.087,0.309,0.195,0.045,0.174,-0.01,0.0181,-0.0058,-0.0009,-0.295,-0.018
12/23/2011,12/23/2011,-0.006,-0.104,-0.133,-0.002,-0.172,-0.01,-0.0016,0.007,0.0082,1.17,-0.0043
12/30/2011,12/30/2011,0.058,0.096,0.068,-0.01,0.16,0.05,-0.0086,0.008,0.0224,0.145,-0.0004
1/6/2012,1/6/2012,0.001,-0.025,0.039,0.01,-0.01,0,0.0063,0.0099,0.0013,-0.155,-0.012
1/13/2012,1/13/2012,0.059,0.083,0.038,0.04,0.122,-0.01,0.0108,-0.028,-0.0293,-0.12,-0.0189
1/20/2012,1/20/2012,-0.157,-0.173,-0.123,-0.038,-0.128,0.02,0.0083,-0.0088,0.0056,0.16,-0.0138
2/3/2012,2/3/2012,-0.136,-0.109,-0.082,0.019,-0.107,-0.04,-0.0078,0.0063,-0.0071,-1.07,0.0088
2/10/2012,2/10/2012,0.044,-0.003,-0.033,-0.004,-0.045,-0.09,0.0034,-0.0035,0.0099,-1.905,0.0002
2/17/2012,2/17/2012,-0.038,0.004,0.014,0.035,-0.01,-0.05,-0.0062,-0.0011,-0.0246,-1.45,0.0079
2/24/2012,2/24/2012,0.146,0.075,0.047,-0.019,0.046,-0.02,0.0101,0.0059,0.026,-0.205,-0.0021
3/2/2012,3/2/2012,-0.06,0.078,0.038,0.006,-0.047,-0.04,-0.0005,0.0161,0.0074,-0.625,0.0152
3/9/2012,3/9/2012,-0.011,0.028,-0.074,-0.001,-0.045,0.02,-0.001,-0.0178,-0.0059,-0.98,-0.0021
3/16/2012,3/16/2012,-0.303,-0.258,-0.24,-0.059,-0.295,0,-0.007,-0.0025,-0.0089,1.155,0.0136
3/23/2012,3/23/2012,0.156,0.181,0.032,0.013,0.037,-0.01,-0.0007,-0.0139,-0.0073,-0.42,0.0128
3/30/2012,3/30/2012,0.08,0.079,0.086,0.041,0.053,0.01,0.0028,0.0183,0.0262,1.33,0.0137
4/6/2012,4/6/2012,0.094,0.118,-0.019,0.016,0.025,-0.02,-0.0022,0.0046,0.002,0.645,-0.0075
4/13/2012,4/13/2012,0.049,-0.056,0.071,0.021,0.032,-0.03,0.0069,-0.0272,-0.0149,-0.585,-0.0016
4/20/2012,4/20/2012,-0.149,0.008,-0.085,-0.001,0,-0.01,0.0124,-0.0138,-0.0065,1.31,-0.0096
4/27/2012,4/27/2012,0.029,-0.004,-0.067,0.025,-0.013,0,-0.0149,0.0118,0.0156,0.49,0.0278
5/4/2012,5/4/2012,0.135,0.119,0.055,-0.002,0.039,0.01,-0.0045,0.0077,0.0106,-0.187,0.0134
5/11/2012,5/11/2012,0.007,0.045,-0.001,0.01,0.032,0.02,-0.0204,0.0246,0.0111,0.964,0.0168
5/18/2012,5/18/2012,0.099,0.072,0.031,0.027,0.079,0.09,-0.0079,0.0147,0.0263,-0.452,0.0089
5/25/2012,5/25/2012,0.083,0.073,0.097,-0.044,-0.01,0.03,-0.0141,0.0325,0.0144,1.609,0.0112
6/1/2012,6/1/2012,0.244,0.237,0.17,0.065,0.259,-0.01,0.012,-0.0098,-0.0082,-1.38,-0.0208
6/8/2012,6/8/2012,-0.015,-0.147,-0.129,-0.06,-0.137,0.03,0.0003,-0.0194,-0.0004,0.756,-0.0096
6/15/2012,6/15/2012,0.025,-0.014,0.066,0.023,0.047,-0.06,-0.0042,0.0138,0.0169,-1.483,0.0063
6/22/2012,6/22/2012,-0.013,-0.045,-0.075,0.041,-0.105,0,0.0092,-0.0116,-0.0114,0.678,-0.0191
6/29/2012,6/29/2012,-0.053,-0.003,0.014,0.003,-0.034,0.04,-0.0028,0.0212,0.0382,0.257,0.005
7/6/2012,7/6/2012,0.112,0.268,0.045,0.05,0.099,0.04,0.006,-0.0089,0.0019,0.465,-0.0046
7/13/2012,7/13/2012,0.045,0.076,0.022,0.027,0.025,0.01,0.0014,-0.0034,0.0095,0.75,-0.014
7/20/2012,7/20/2012,0.04,0.097,0.016,0.027,0.017,-0.02,0.0108,-0.0137,-0.0197,0.04,-0.0125
7/27/2012,7/27/2012,-0.07,-0.25,-0.181,0.001,-0.155,0.01,0.0029,0.0093,-0.0083,0.005,-0.0093
8/3/2012,8/3/2012,-0.031,-0.006,-0.024,0.015,-0.036,0,0.0103,-0.0051,0.0103,0.345,-0.0001
8/10/2012,8/10/2012,-0.006,0.045,0.006,-0.047,-0.091,0,0.0021,-0.0018,-0.0047,-1.275,0.014
8/17/2012,8/17/2012,-0.144,-0.111,-0.138,-0.062,-0.155,-0.03,-0.0031,-0.0107,-0.0173,0.933,0.0026
8/24/2012,8/24/2012,0.195,0.167,0.156,0.022,0.157,-0.03,0.0054,-0.0049,-0.0066,0.27,0.0096
8/31/2012,8/31/2012,0.046,0.013,0.054,0.012,0.116,-0.04,0.0079,-0.0125,-0.0236,0.087,-0.0093
9/7/2012,9/7/2012,-0.076,-0.19,-0.065,-0.03,-0.096,-0.06,0.0053,-0.0199,-0.0324,-0.153,-0.0183
9/14/2012,9/14/2012,-0.299,-0.193,-0.109,0.016,-0.19,-0.1,-0.0064,-1E-04,0.0141,0.227,0.0103
9/21/2012,9/21/2012,0.13,0.12,0.12,0.025,0.09,0.03,-0.0068,0.0094,0.0121,0.243,0.0073
9/28/2012,9/28/2012,0.09,0.12,0.093,0.023,0.088,0.05,-0.0016,0.0069,0.0071,0.24,-0.0068
10/12/2012,10/12/2012,0.037,0.038,0.018,0.025,0.057,-0.06,-0.015,0.0078,-0.0065,-0.903,-0.0081
10/19/2012,10/19/2012,-0.143,-0.141,-0.05,-0.011,-0.091,-0.01,-0.0025,-0.009,0.0082,-0.356,-0.0053
10/26/2012,10/26/2012,0.027,0.059,0.034,-0.003,0.053,-0.03,0.0036,0.0064,0.0088,-0.766,0.0012
11/2/2012,11/2/2012,-0.003,0.059,0.029,-0.011,0.004,-0.03,-0.006,0.0126,0.0111,1.035,-0.0042
11/9/2012,11/9/2012,0.123,0.086,0.037,0.043,0.078,-0.01,-0.0009,0.0023,-0.0026,-1.848,0.0051
11/16/2012,11/16/2012,-0.005,0.011,0.012,-0.006,0.027,-0.04,0.0086,-0.0137,-0.0233,-1.003,-0.0106
11/23/2012,11/23/2012,-0.09,-0.097,-0.069,-0.011,-0.081,-0.02,-0.0019,0.0014,-0.0012,-0.096,0.0031
11/30/2012,11/30/2012,0.069,0.047,0.075,0.017,0.057,0.04,0.0053,-0.0015,0.0068,-0.107,-0.0058
12/7/2012,12/7/2012,0.026,0.078,0.004,0.01,0.017,-0.05,0.0009,-0.014,-0.0269,-0.929,-0.008
12/14/2012,12/14/2012,-0.14,-0.074,-0.108,-0.023,-0.098,0.019,-0.0079,0.0006,-0.0005,-0.134,0.0162
12/21/2012,12/21/2012,-0.009,0.007,0.001,-0.034,-0.048,-0.025,-0.0038,-0.0011,-0.0039,-1.629,0.0033
12/28/2012,12/28/2012,0.076,0.067,0.035,-0.039,0.056,0.02,0.0078,0.0091,0.0147,-2.327,-0.0103
1/4/2013,1/4/2013,-0.232,-0.159,-0.178,-0.033,-0.219,-0.03,0.0009,-0.0058,-0.0266,-0.862,-0.0025
1/11/2013,1/11/2013,0.014,-0.055,-0.018,0.023,0.029,0.03,-0.0074,0.0255,0.0048,-0.488,0.0023
1/18/2013,1/18/2013,0.051,0.017,0.015,0.064,-0.007,0.036,-0.0134,0.0055,-0.0149,-0.714,0.0078
1/25/2013,1/25/2013,-0.049,-0.07,-0.007,0.022,-0.082,0.01,0.0102,0.008,-0.0182,-1.725,0.0009
2/1/2013,2/1/2013,-0.036,-0.004,-0.092,-0.021,-0.052,-0.02,-0.0057,-0.0095,0.0283,0.122,0.0097
2/8/2013,2/8/2013,0.032,0.105,0.088,0.003,0.049,0.018,-0.0133,0.0326,0.0155,0.472,-0.0043
2/22/2013,2/22/2013,0.062,0.066,0.031,0.026,0.042,0.013,-0.0037,0.0053,0.0175,0.618,0.0086
3/1/2013,3/1/2013,0.28,0.164,0.151,0.073,0.126,-0.08,-0.0013,0.0113,0.0013,-2.452,-0.0038
3/8/2013,3/8/2013,-0.192,-0.131,-0.145,0.005,-0.217,-0.03,0.0094,-0.0206,-0.0087,0.89,-0.0202
3/15/2013,3/15/2013,0.101,0.051,0.019,0.031,0.048,-0.031,-0.0003,-0.012,-0.0084,0.38,-0.009
3/22/2013,3/22/2013,0.034,0.001,0.045,0.046,0.036,-0.04,0.0057,0.0034,0.0155,0.446,0.0039
3/29/2013,3/29/2013,0.097,0.108,-0.023,0.025,0.115,-0.05,-0.001,-0.0138,-0.0185,-3.277,0.0024
4/5/2013,4/5/2013,0.124,0.061,0.168,0.067,0.189,0.104,0.0031,-0.0014,-0.0119,-0.109,-0.0139
4/12/2013,4/12/2013,-0.084,-0.039,0.003,-0.094,0.002,0.15,-0.0124,0.0111,0.0052,-1.118,0.0224
4/19/2013,4/19/2013,0.076,0.012,0.008,0.042,0.006,-0.005,0.0087,-0.0241,0.0043,1.73,-0.0007
4/26/2013,4/26/2013,0.018,0.053,0.014,-0.012,0.052,0.05,0.0089,-0.009,-0.0056,-1.027,-0.0031
5/3/2013,5/3/2013,-0.026,-0.024,-0.054,0.035,-0.09,0.147,-0.0037,0.0208,0.0133,-2.446,0.0294
5/10/2013,5/10/2013,-0.164,-0.138,-0.131,-0.131,-0.153,-0.082,-0.018,0.0189,0.0151,-1.51,0.0283
5/17/2013,5/17/2013,0.007,0.044,-0.038,-0.081,-0.034,0.12,-0.0046,0.0063,-0.009,1.49,0.0106
5/24/2013,5/24/2013,0.02,-0.075,-0.008,-0.027,-0.076,-0.03,-0.0053,-0.0064,-0.006,0.79,0.0082
5/31/2013,5/31/2013,-0.055,-0.08,-0.149,-0.021,-0.122,-0.005,0.0171,-0.0385,-0.023,3.04,0.0108
6/7/2013,6/7/2013,-0.054,-0.037,-0.028,0.006,0.007,-0.04,0.0049,-0.0173,-0.0147,3.806,-0.0171
6/14/2013,6/14/2013,-0.002,0.031,-0.043,0.031,0.06,-0.05,-0.0283,0.0289,0.0226,-3.586,0.0335
6/21/2013,6/21/2013,-0.314,-0.192,-0.293,-0.06,-0.397,-0.12,-0.004,0.018,0.0087,-1.232,0.0088
6/28/2013,6/28/2013,0.05,0.043,0.041,0.032,0.175,0.05,-0.0055,0.0322,0.0183,-2.01,0.0066
7/5/2013,7/5/2013,-0.043,0.018,-0.145,-0.002,-0.194,-0.07,0.0186,-0.0227,-0.0254,1.924,-0.001
7/12/2013,7/12/2013,0.146,0.142,0.118,0.043,0.122,-0.01,0.002,-0.0166,-0.0078,-1.106,-0.0111
7/19/2013,7/19/2013,0.044,0.033,0.082,0.012,0.144,-0.12,0.0091,-0.0115,-0.0146,2.08,-0.0097
7/26/2013,7/26/2013,-0.063,-0.15,-0.112,0.022,-0.086,0,-0.0108,0.0094,-0.0006,-0.52,0.0356
8/2/2013,8/2/2013,-0.098,0,-0.044,-0.016,-0.039,0.03,0.0096,-0.0227,-0.0067,2.786,-0.0282
8/9/2013,8/9/2013,-0.059,-0.039,0.028,0.059,0.037,-0.13,-0.0045,-0.0126,0.0003,-1.218,-0.0006
8/16/2013,8/16/2013,-0.226,-0.199,-0.261,0.002,-0.238,-0.1,-0.0169,0.0049,-0.005,-1.037,0.0154
8/23/2013,8/23/2013,0.021,-0.028,0.039,-0.018,0.028,-0.13,-0.0019,0.0079,0.0168,0.443,0.0128
8/30/2013,8/30/2013,-0.109,0.07,0.075,0.047,0.075,-0.02,0.0119,-0.0107,0.0038,-0.707,-0.0254
9/6/2013,9/6/2013,-0.112,-0.056,-0.083,-0.059,-0.101,-0.03,0.0056,-0.0246,-0.013,0.52,-0.005
9/13/2013,9/13/2013,0.041,-0.017,-0.013,0.064,0.003,-0.04,0.0009,-0.0072,-0.0151,-0.52,-0.0055
9/20/2013,9/20/2013,-0.045,-0.011,0.052,0.028,0.077,0.15,0.0006,-0.0147,0.001,1.031,0.0059
9/27/2013,9/27/2013,0.23,0.166,0.164,0.015,0.12,0,0.0024,0.0124,-0.0072,0.327,-0.0128
10/4/2013,10/4/2013,-0.059,-0.085,-0.062,0.031,-0.046,0,-0.0057,0.0068,0.0011,-1.269,-0.0037
10/11/2013,10/11/2013,-0.035,-0.047,-0.027,-0.004,-0.057,0.15,0.0069,-0.0199,-0.0124,0.313,-0.0239
10/18/2013,10/18/2013,0.012,0.016,0.104,0.035,0.125,-0.02,-0.0162,-0.0008,-0.0125,0.537,0.0078
10/25/2013,10/25/2013,0.105,0.085,0.12,0.011,0.089,-0.01,0.0031,0.025,0.0323,-1.143,0.0152
11/1/2013,11/1/2013,-0.013,0.069,-0.084,0.013,-0.102,0.11,-0.0057,-0.0085,0.0131,-0.466,0.0064
11/8/2013,11/8/2013,-0.133,-0.069,-0.121,0.005,-0.132,-0.08,0.0038,-0.0111,-0.0134,-1.055,0.0008
11/15/2013,11/15/2013,0.012,0.042,0.084,-0.04,0.054,-0.05,-0.0086,-0.0097,-0.0057,-1.07,0.0207
11/22/2013,11/22/2013,-0.056,-0.052,-0.008,0.021,-0.049,-0.03,-0.0093,-0.0133,-0.0031,-1.14,0.0059
11/29/2013,11/29/2013,0.028,0.054,0.029,0.023,0.018,0.2033,-0.0037,0.003,-0.0114,-0.38,0.0019
12/6/2013,12/6/2013,-0.101,-0.138,-0.1,-0.071,-0.102,-0.06,0.0048,0.0053,-0.0024,-0.08,0.0158
12/13/2013,12/13/2013,0.006,0.018,0.034,-0.007,-0.022,-0.07,-0.0057,-0.0043,0.0056,-0.92,0.0022
12/20/2013,12/20/2013,-0.057,-0.053,-0.005,0.006,-0.037,-0.03,-0.0065,-0.0145,-0.007,-1.22,0.0058
12/27/2013,12/27/2013,-0.117,-0.074,-0.098,-0.03,-0.09,0.01,0.0067,0.0085,0.0179,0.54,-0.009
1/3/2014,1/3/2014,0.046,0.015,0.017,-0.032,-0.004,0.06,-0.0268,-0.0073,-0.0065,0.78,-0.0047
1/10/2014,1/10/2014,0.137,0.081,0.182,0.046,0.113,0.02,-0.0069,0.0077,0.0138,-0.2,0.0218
1/17/2014,1/17/2014,0.035,0.091,0.051,-0.016,0.026,0.09,-0.0107,-0.0085,-0.0143,2.04,0.0078
1/24/2014,1/24/2014,0.062,0.094,0.093,0.043,0.105,0.07,-0.0072,0.004,0.0195,-0.12,-0.0057
1/31/2014,1/31/2014,0.079,0.008,0.069,0.011,0.082,-0.05,0.008,0.0012,-0.0151,-0.12,-0.0197
2/7/2014,2/7/2014,0.008,-0.002,-0.026,0,-0.012,-0.01,0.0055,-0.0336,-0.0077,0.8,-0.0084
2/14/2014,2/14/2014,-0.088,-0.018,-0.06,0.022,-0.07,-0.01,-0.0157,0.0122,-0.0036,-0.84,0.0084
2/21/2014,2/21/2014,0.028,0.025,0.033,-0.005,-0.004,-0.02,0.003,-0.0112,-0.0065,0.78,0.0046
2/28/2014,2/28/2014,0.057,0.036,0.102,0.013,0.081,0.12,-0.0009,0.0017,-0.0098,-1.82,-0.0165
3/7/2014,3/7/2014,-0.13,-0.074,-0.147,-0.037,-0.178,-0.08,-0.0014,0.0079,-0.0036,1.84,0.0029
3/14/2014,3/14/2014,0.104,0.085,0.152,0.004,0.157,0.04,-0.0122,0.0149,0.0113,-0.85,-0.0063
3/21/2014,3/21/2014,-0.088,-0.09,-0.089,0.021,-0.078,-0.01,0.0167,-0.0151,0.0041,-0.6,-0.0151
3/28/2014,3/28/2014,0.045,0.093,0.063,-0.028,0.056,0,0.0076,0.0064,0.0051,-0.36,-0.0035
4/4/2014,4/4/2014,0.044,-0.007,-0.016,-0.019,0.018,-0.01,1E-04,-0.0164,-0.0183,1.71,-0.011
4/11/2014,4/11/2014,0.069,0.034,0.088,0.038,0.109,0,-0.0048,-0.0055,0.0046,-0.83,0.0065
4/18/2014,4/18/2014,-0.056,-0.013,-0.046,-0.002,-0.084,0.14,-0.0012,-0.0003,-0.0021,0.29,0.0062
4/25/2014,4/25/2014,0.038,0.045,0.045,-0.018,0.056,0.06,0.0055,-0.0072,-0.0031,-0.1,0.0003
5/2/2014,5/2/2014,0.012,0.042,0.071,0.014,0.089,0.05,0.0081,0.0025,0.0116,0.44,-0.0075
5/9/2014,5/9/2014,-0.039,-0.004,-0.018,0.002,-0.047,0.21,0.0042,0.0032,0.0059,0.32,-0.0006
5/16/2014,5/16/2014,0.154,0.137,0.107,0.021,0.127,-0.06,-0.0008,-0.0004,0.0066,-0.47,0.0136
5/23/2014,5/23/2014,-0.076,-0.091,-0.026,-0.007,-0.012,0.06,0.0028,0.0071,-0.0007,0.18,-0.0074
